Row ID,Approved,Reason,Mod Status,Source,Source-row,Timestamp,Entry Age (in days),What is the name of the hospital or clinic?,Final Address,Street address for dropoffs?,City,State?,"Write drop-off instructions below or paste a link to your organization's own page containing instructions. For written instructions, please include details such as curbside procedure, mailing address, email address, and/or phone number. Please note all information entered here will be made public.",Wants mail,What do you need?,Will you accept open boxes/bags?,Type of request:,Type of organization?,Lat,Lng,RDI,Action link for LGTM,Action link for Remove,Row
291,x,,FM,,,3/23/2020 10:33:14,80,Boston Healthcare for the Homeless Program,"780 Albany St
Boston, MA 02118","780 Albany St
Boston, MA 02118",Boston,MA,Attn: Meghan Krueger/April Donahue,,"Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes,,,42.3337186,-71.0725726,Commercial,https://findthemasks.com/api/exec?cmd=0scpPVk9n0xXATvMp8psMxYYheZbFjgSzeDa0zb0cXd88XDtDqWmwLGB_q1Uxu30XzUzwIkAcYzrJ6rx2QMXojBK7Grv4123wUV6eO3g,https://findthemasks.com/api/exec?cmd=8UTZEFzl_5ZjVyNqqEeY7Hat1FXVQCwoHJ4V6cYfsZ3-qrWvcrp0Gr_1Wjidxk9Vl3jeDZAkIse3mBKMtF_tSJAaGARnaLQ7aDeT4HQO,291
293,x,,FM,,,3/23/2020 11:00:59,80,Tri-City Health Center,"39500 Liberty Street
Fremont, CA 94538","39500 Liberty Street
Fremont, CA 94538",Fremont,CA,Attn: Phyllis Pei,,"N95s, Face shields, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,Outpatient Clinic,37.5489569,-121.9769483,Commercial,https://findthemasks.com/api/exec?cmd=NbCGT2y1D7BdTzpyIWjp0GGa_VncFHGhqpWPifDtAghpzzqS5hp_xWzdxmZ1b-mMf9pcP0mm-i-Ac6A2K_VATVjIQjXKqMtVIPvaQu1m,https://findthemasks.com/api/exec?cmd=y8u1nbnJZDmo2U_5Uaj3zfm4P-zxJC3AXFv9idOLseo-ng1nVhezBWzyX5Ukxz2I6rRpTgbr-ffFkPsFKMKF9DSUJfRGrWw7IkSP1SW3,293
294,x,,FM,,,3/23/2020 11:14:52,80,Sabetha Community Hospital,"Oregon St & 14th St
Sabetha, KS 66534","Oregon St & 14th St
Sabetha, KS 66534",Sabetha,KS,Drop off at the old ER on the south side. ,,"N95s, Surgical masks, Face shields, Gowns, Thermometers",No,,Hospital,39.8997686,-95.807109,,https://findthemasks.com/api/exec?cmd=5WrJRbZ6e6A4GCu-CzQcM9JneIMBFKB23sL3U2hOEg9Kk3CYnfM7bJbFhzxkfsQPgPwwVJK22TQRuCQ8m-WzB2Ycqj3BYse6R4bug2ad,https://findthemasks.com/api/exec?cmd=RqgDw_LsvIHkRpv3-CoOFjfywGpypeLmJ-JcVvGH_MXGrrsQg9LsrRtNiSaZAFarnpYE6uQYGAUY9Ucry--tvAoi0t4qWm3ut_q3MUow,294
295,x,,FM,,,3/23/2020 11:18:12,80,Southern Hills Hospital and Medical Center,"9300 W Sunset Rd
Las Vegas, NV 89148","9300 W Sunset Rd
Las Vegas, NV 89148",Las Vegas,NV,"Drop off to screening tent 

OR

Please contact Cyndi Lundenberg at cynthia.lundenberg@hcahealthcare.com to arrange for donations",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Please check with screening tent,,Hospital,36.0723796,-115.2949636,Commercial,https://findthemasks.com/api/exec?cmd=gqgojw1g6M6WbaN60_-c0ldL-5uMWPvW-ysOLxQJTB9JjeLwvw_CE8pbuMuixv3ncfnmOf1XkaX3v7-uIS-4I4XQ4dP41GJUrjm4eOk_,https://findthemasks.com/api/exec?cmd=Ml4lIyVSnnmNeql0_5lH3q_MW8WDF7e9W00mGlrnAEHKGqd0aIlQpYt8HJzyH89rc2CETFQfFMMRa0IoJPssPe-Go-pCMUYF6ylYkBWr,295
296,x,,FM,,,3/23/2020 12:06:56,80,Presbyterian St. Luke's Medical Center,"2001 N High Street
Denver, CO 80205","2001 N High Street
Denver, CO 80205",Denver,CO,Emergency (corner of 19th Ave & High Street),,"N95s, Surgical masks, Gloves, Gowns",Yes,,,39.746698,-104.9653732,Commercial,https://findthemasks.com/api/exec?cmd=Gm1zUFQX7STclVGlbN2t0stTL_osjAxGeeMkCp2JVyDbg5tKLHporobVyKtGrPSbmDSfRIJXMdlbsuzSPtRRp3yaSVUHR3EO91aY3nKC,https://findthemasks.com/api/exec?cmd=aaDc_tHU6_z5u4z57PmRyaDGzWNMqphNnZkrLxIgfxOg4R1Zz494HHohcPlzPNYyzETIvYbu8EmEiP6LXbdV70wfxcr1XxTGc2IBXZlB,296
297,x,,FM,,,3/23/2020 12:32:37,80,Alliance Health at Rosewood,"22 Johnson St
Peabody, MA 01960","22 Johnson St
Peabody, MA 01960",Peabody,MA,Either drop off or mail. Call 978-317-4852 and ask for Dr. Lucas.,Y,"N95s, Surgical masks, Face shields, Safety goggles",No,,,42.546416,-70.9928977,Commercial,https://findthemasks.com/api/exec?cmd=XyNyPkum3H8bxK22WtTXW6Wi1cjKUIAazFUNFzebCjdaJxrE-3vXvYBy4R46G5qhErrPqazZpmKQZVWSuz6YtTyzQoxkBNzYtYV-yKf7,https://findthemasks.com/api/exec?cmd=-VnauxY20yE_Zw6aEjdjFRqyIl_k-Ozs_eCScDf1FhzR70iBpm0fr7ReMzJ6iXPn6aFqMXSkvPNq91C12wtZI9WEwhyyTxdQccmIFhjo,297
298,x,,FM,,,3/23/2020 12:40:55,80,Greater Baltimore Medical Center,"6701 Charles St
Towson, MD 21204","6701 Charles St
Towson, MD 21204",Towson,MD,Donation in front of ED tent at GBMC campus,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes,,,39.3902857,-76.6249755,Commercial,https://findthemasks.com/api/exec?cmd=z1hdUJhcew2y7HNxwividNhXDjJUKGVuZ_OkszgzqtNJqzyDTxaim2rEwgxxjmSMyAkyWTlBqvgD6QbpzEMRVCDHaJ4KrhQQ7PwUonwJ,https://findthemasks.com/api/exec?cmd=uxhoooYr5Gfkt1IKKJBCqvJo8fgetjAFZoFrfMgs50sSBRxI6oyriUgregrrsrSONqVpVMCyfFQ9P110m2LUSFnwbwxE5Vfj8TkIrROP,298
299,x,,FM,,,3/23/2020 12:47:41,80,Carilion Roanoke Memorial Hospital,"1906 Belleview Ave SE
Roanoke, VA 24014","1906 Belleview Ave SE
Roanoke, VA 24014",Roanoke,VA,"Ship using UPS, FedEx, USPS. Attn: Jack Perkins, MD",Y,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns",No,,Hospital,37.2516794,-79.9410604,Commercial,https://findthemasks.com/api/exec?cmd=pW4qQwvNc3ewQ8XzXjhw01zQvvMbNLQhh1WV8ChoGfQ66zQu2aT5YbYC563hhN9ABTP5hCTzE9P3b1AlSjCbHHcjmu2lt-82qnhc3H1w,https://findthemasks.com/api/exec?cmd=X4i8AzREfJabQvuULwQ3fMahcvzEUhojUWQ3j_IDTpp4P74UBg42OOlZ8NkUosxu4DIeStdjqUf9v1v_HHk_pGmQreAA5pgh-Mm27cXC,299
300,x,,FM,,,3/23/2020 12:51:56,80,Notre Dame Health and Rehabilitation Center,"76 West Rocks Road
Norwalk, CT 06851","76 West Rocks Road
Norwalk, CT 06851",Norwalk,CT,Loading Dock at the back of the building,,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",No,,,41.1336143,-73.4128183,Commercial,https://findthemasks.com/api/exec?cmd=RJYZ2IWXTLYdcEvU2iH0DBr5YGYug6Pb5fkUPemcoSWY3BLp03n_198q4jY1vTbgRqo-VNH7OOoYMRDdkhz-lcO_5G33nCxnAzRs6K8E,https://findthemasks.com/api/exec?cmd=Uv5g78sxL8Inz9ZOWRXwg4cSUVy-mYhSXqS8gXpz_lYQenSOnFd0e6cBNkduLZkAb2WuKCt44VhSmDt4g737ijAY0Vst1bSrf9OlYfBZ,300
301,x,,FM,,,3/23/2020 13:06:16,80,Central Coast Medical Group ,"1101 East Ocean Ave B
Lompoc, CA 93436","1101 East Ocean Ave B
Lompoc, CA 93436",Lompoc,CA,Front door,,"N95s, Surgical masks, Face shields, Gowns",Yes,,,34.6391336,-120.4448382,Commercial,https://findthemasks.com/api/exec?cmd=8GZF2J5Pj_GyrzLtIqNSOL27WyXpsXDM-UVeAH715ieEiO437ikOijdBRiJUfyZ7_VtGeA1LVP0R67OArEcBOkcwGCdiMtlLO3YI_R4n,https://findthemasks.com/api/exec?cmd=VBFxfCUVCzjMyK3UAncLOz1LZXKCDa1da67YSrBvObtnH5T7gXl-E1QiCnssIRJxxf0cOttIPKrXeV74W0bizNPLf6sClXpSFhtngQzS,301
302,x,,FM,,,3/23/2020 13:08:16,80,Physicians Primary Care of SWFL,"1304 SE 8th Terrace #3212
Cape Coral, FL 33990","1304 SE 8th Terrace #3212
Cape Coral, FL 33990",Cape Coral,FL,Drop off at Buildings 1-4.    ,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,,26.6367562,-81.9459375,Commercial,https://findthemasks.com/api/exec?cmd=pnb-MXPClsPQYDhDB0O-5kZYn5Y3hoMrfSH4hkz1v6eQJf-TZ51yUy5I8agYQxY9vKZfBBl0QQ3xVPMmG2BRPHF8A81BtbVkFwm5UJ3_,https://findthemasks.com/api/exec?cmd=S-184p8AQsbGSoH3DlBEgb8-u8xv13B3ypI11fiw_BTn2nmc5LP9rP2VSIaA2RRbZVYM-0nat35HEwbq4tcOq2Mn2bF50LK4U8Sp27XG,302
303,x,,FM,,,3/23/2020 13:19:39,80,Bluebonnet Trails Community Services,"275 Ellinger Road
La Grange, TX 78945","275 Ellinger Road
La Grange, TX 78945",La Grange,TX,At La Grange Behavioral Health. Curbside or mail ,Y,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,,29.9126741,-96.8618627,Commercial,https://findthemasks.com/api/exec?cmd=KFff8RXU7OCAJ2hQwsBdKnLJO1QUN9_4-c81nK9vr_rh16877mKTOzQ_n3crEiUzX_9pQDAXXmMgmKOyeevHGAzdoZoX2_KFq4TW8oMG,https://findthemasks.com/api/exec?cmd=VquS0PSfhp1hnzoQXfofUt_xcilpcNLyE8YCm8MyB8ZgRq-Z2O9R9yNHNTvwLLPJDBOLaWux47juwyjzYDVaI9YBhWXNLhk9Vfz-W08E,303
306,x,,FM,,,3/23/2020 13:42:59,80,Winter Haven Hospital,"200 Ave F NE
Winter Haven, FL 33881","200 Ave F NE
Winter Haven, FL 33881",Winter Haven,FL,"Take to the ER,security will take it from you at the front door  ",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes,,Hospital,28.0279017,-81.7254974,Commercial,https://findthemasks.com/api/exec?cmd=CIm5L4eLE-B5ydfkhbBDoFneHtIZCW9H6aPFy5DY5qYcmMRPHaNeNDN2MbSad7ACJ0vSFp3HSnAWj3NO-eoek9pU-k0N1TL7ob4eam5t,https://findthemasks.com/api/exec?cmd=Y8RDjCOlfnbPnyw2aHoSSsjxKa0_iPw4225UI0m6kHoZUHbRjsT8A5B4Ox8EZPp0wEg4e3Bt4lUIqVUGe3xG_TCBv5GBe6XOPLyABlav,306
307,x,,FM,,,3/23/2020 13:48:44,80,UPMC Jameson,"1211 Wilmington Ave
New Castle, PA 16105 ","1211 Wilmington Ave
New Castle, PA 16105 ",New Castle ,PA,,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,,41.013401,-80.3536706,Commercial,https://findthemasks.com/api/exec?cmd=fuiZTPomMHTJ9DqtcBzeNWNxlcVOF-2BoKbHSv7igbEWcPXgmt-nPNqUYHRGEC-lvnE61-9yozwAwVue0HZKj4DlM1ZOE3MuCJ3Z8keJ,https://findthemasks.com/api/exec?cmd=c7Drsa3ca6wB1I_MSvBwNji8M4uPfvbLHQpmX2ceTH3UFajH4xGJD9RLJwCb4ghQwmnsMBic7zmqQiE6w5afIUmPIkZTXJi83QMCDLZ0,307
310,x,,FM,,,3/23/2020 14:03:09,80,WhidbeyHealth Medical Center,"101 N Main Street
Coupeville, WA 98239","101 N Main Street
Coupeville, WA 98239",Coupeville,WA,Attn: Infection control nurse.  (Or drop off at front desk to give to her),,"N95s, Surgical masks, Face shields, Safety goggles, Gloves",Maybe,,,48.2135646,-122.6845344,Commercial,https://findthemasks.com/api/exec?cmd=26Tm_2qit02AJqjwOlc6uUGsfd-axqsMiYt79BpgyT3Xu0DukvA4C2OJwfB1rDxxNmlXZ3hR0SYmJoIoR3FyeNfgUPKXPy5G71VuanpS,https://findthemasks.com/api/exec?cmd=Y0lZ5wU84BP0wXeUEXgKOUk4q1I0uomH29m2-lfOhJM6q5EsLxOP5lyn91Io0pgefChOr0cTnCpfFTIs6siFNf4S72kwz3qomMQpvGSw,310
313,x,,FM,,,3/23/2020 14:20:35,80,Ability Beyond Disability,"4 Berkshire Boulevard
Bethel, CT 06801","4 Berkshire Boulevard
Bethel, CT 06801",Bethel,CT,Drop off curbside or Mail to ATTN: Carrie O'Connell,Y,"N95s, Surgical masks, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, Blood pressure cuffs",No,,,41.4187056,-73.4013996,Commercial,https://findthemasks.com/api/exec?cmd=h5IA1i25eNaFTgH4NCOfRAlWJLtQvs3tOMAtj49_YO2N4lRYmuC6x0iExAT5A1yPrz-uq-qKyswUsn9aQWiIns4sc8TPjQrB7vVMW1C8,https://findthemasks.com/api/exec?cmd=NRL8qPo5p0UUt3hCue3kTJn58C7vvKvH9MsFMgzXSvGYiOylej24wuqHbDHwU0IB9gTiMhWKRM6DLXLPtZMp8DtNr7XTwWcQVLKcdZB9,313
314,x,,FM,,,3/23/2020 14:21:06,80,Beth Israel Deaconess Medical Center (BIDMC),"Farr Building
185 Pilgrim Road
Boston, MA 02215","Farr Building
185 Pilgrim Road
Boston, MA 02215",Boston,MA,Drop off at front desk of Farr Building 6AM to 8PM Mon-Sun,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,Hospital,42.3384259,-71.1096368,,https://findthemasks.com/api/exec?cmd=C9NDeNe213gJJXt16F-8_eTI_PJNwOrzqyuxLN8tdpHa_tAJe9htW4G7WXTJazlOu5QMYUPRvEWJOgXZl7zkf1FuNFEA2_B8bAffdktN,https://findthemasks.com/api/exec?cmd=jdLPmjL0v8gx1rie6pMdcJmQu0MsMdr1GhV6dAxCnUxOSv-bvgn0-_Ex-QHJHO-GM9go-RsdCbVPYeNGbmhkvCFgJgYqMS0LQj5pEbrK,314
315,x,,FM,,,3/23/2020 14:22:07,80,Paladina Health,"671 McAfee Ct
Erie, CO 80516","671 McAfee Ct
Erie, CO 80516",Erie,CO,Leave at front door,,"N95s, Surgical masks, Gowns, Disinfecting wipes",No,,,40.0428729,-105.0402851,Residential,https://findthemasks.com/api/exec?cmd=UK3QgW0E57_cMkpkxgnWoheJO3JriJDVZKpqpYCta1tyL_oxOdEcQq6JEh3rlJRi7DjYp7ktMouoYucQH2cPlZVzgPRd613YuUKmpOV5,https://findthemasks.com/api/exec?cmd=55N-l-DnhMxu__IARSuRswVzx4_LGXhIQYciD3_kB8gyPr6_udJnBawvaDXbaeePQU-Y6xbz2mIZTg-36qiLM2ZgDToC0ylGz0-V9zRl,315
316,x,,FM,,,3/23/2020 14:26:10,80,Michigan Medicine,"2800 Plymouth Road
Ann Arbor, MI 48109","2800 Plymouth Road
Ann Arbor, MI 48109",Ann Arbor,MI,https://www.uofmhealth.org/news/archive/202003/u-m-asks-community-donate-gear-protect-health-care-workers,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No,,,42.3008837,-83.706502,Commercial,https://findthemasks.com/api/exec?cmd=k7EyFQ6QLC0BjJtpD3KM3vRpJgaDoHep54GQVNY40yHcZtxL-q0OA9ZCPt2r98P_nuqjWywGUZbIb8WdhygyVHCDBUVEQOrQtoLOX5v3,https://findthemasks.com/api/exec?cmd=PiQM5bqg0-obAkUt2-WRDPX7waIpTyAsV2y3ganeWATLyed_7QIqFgnpk74jp_iFDfQ2Q5anpfDp4vG3qsctsuCu9NkhH5e2AueX222b,316
318,x,,FM,,,3/23/2020 14:38:33,80,MD Anderson Cancer Center,"3003 Reba Dr
Houston, TX 77019","3003 Reba Dr
Houston, TX 77019",Houston,TX,"Drop off or mail, grateful for anything",Y,N95s,Yes,,,29.7444164,-95.4190943,Residential,https://findthemasks.com/api/exec?cmd=YXvSwr4Tv6z1URVI_2w5znM5xJewfXTLkRm8WIDeBVBp_y7FRjJybOcE11glk-GzU79VqL4j7w9NZit36cH1eSXrDx1-hhvmIdBTG6Rp,https://findthemasks.com/api/exec?cmd=6HCjkvNK7cZimIcabAOsrNcS08osXFSjXU30I2Kpt4xnnJjW6cOANWw3kjex3riQqqS6eNqLrHgvLpC4VQccrQQJJ7Bi9t56MIrnyDTI,318
320,x,,FM,,,3/23/2020 14:39:58,80,Northwestern Memorial Hospital,"251 E Huron St
Chicago, IL 60611","251 E Huron St
Chicago, IL 60611",Chicago,IL,,,"N95s, Surgical masks",Yes,,Hospital,41.8946256,-87.6209858,Commercial,https://findthemasks.com/api/exec?cmd=ccgy2jOCtbyD30jQfb1hw3sEe1OPfi024v8p304Wl1e1r0mPuQK0cPJ_otNsnxdjIrOCXYRaakob27doWaA8jMLNmE9yHHZohgNEqI4D,https://findthemasks.com/api/exec?cmd=gQ23IbAvsRwcG2u7GPuEiv3OhW00p-RXgcpq6Y4CtCxzZddlIU63C7FyhGrrR_oeyoz-tiKzGc6esZU7sJR2oh7IdtMBgPb6GoHQOcH6,320
321,x,,FM,,,3/23/2020 14:41:15,80,"Kaiser Permanente - Tyson's Corner, Anesthesiology Department ","1753 Swann Street NW unit 2
Washington, DC 20009","1753 Swann Street NW unit 2
Washington, DC 20009",Washington,DC,Leave at bottom of the stairs. Zip code 20009,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,,38.9149671,-77.0402744,Residential,https://findthemasks.com/api/exec?cmd=c_QnvX_8qPuJWk31JWxIYVsy3s8UIWQWo86GXBo0Mzzn6ssLDsQLNi14Tuu6eQF0E4cc_jXBrY0em0pXFJAdE-z3IXvmh15DgNRgT8Tv,https://findthemasks.com/api/exec?cmd=UQoVZQt90ua7ccDf9o4Xb3dypk4MfopdzaK4aD8Wv_ZyAFXtOrkWpPDyzTPPYPoHcJOPx7OCZR4eZGunX6SOhxtUvPTTteCY0svHTZmI,321
323,x,,FM,,,3/23/2020 14:48:46,80,Healthcare Partners Nevada,"700 E Warm Springs Rd # 302
Las Vegas, NV 89119","700 E Warm Springs Rd # 302
Las Vegas, NV 89119",Las Vegas,NV,Mail ATTN: COVID19 Task Force,Y,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes,,,36.0578468,-115.147645,Commercial,https://findthemasks.com/api/exec?cmd=d4dj2DXWyBpXhXN1f972ZKiXwIpYllcPimWk2XhPYyrx1zX7nTkVS170-Xjet_VYyD7RCJJjQfrpfRlgEDvPmrn9vGdojv18CQ9qqKLH,https://findthemasks.com/api/exec?cmd=w07c0ezgchkNmg8tCfe_lDlrsLudL08GhmdTzo7EMZ7h-g14nllhyL-mNWnkAS9_hcrZOhvS8ODhgjLKoy6Obo4cWvRUsrzFGYzwWAzR,323
325,x,,FM,,,3/23/2020 14:49:40,80,Advent Health Waterman ,"4000 Waterman Way
Tavares, FL 32778","4000 Waterman Way
Tavares, FL 32778",Tavares ,FL,,,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer",Yes,,,28.8244867,-81.7094941,Commercial,https://findthemasks.com/api/exec?cmd=ze1RB5V9nSTHj0kj42r0r0u7ewAVhftwuTQ-cPhh8FVEtNiDWbH1u1JYMxRK9KfgBd4NVGiSEbJU6hhmhmXe207LKHjMj2U3IxSbWTIz,https://findthemasks.com/api/exec?cmd=Br4BEqfwriqWhEzUJ1dtMkk-gnCQAlJQrCDHzdD-X7GSwqVBe9_J2Ky5voBNtcQ5slSbOBT3YXCtaBni8VbU-mEhRz2XCrombiHevFvX,325
326,x,,FM,,,3/23/2020 14:55:30,80,Millburn Short Hills Volunteer First Aid Squad,"188 Glen Ave
Millburn, NJ 07041","188 Glen Ave
Millburn, NJ 07041",Millburn,NJ,Please ring doorbell to office door on East side of building and leave supplies near door.,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Disinfecting wipes",Yes,,,40.7261659,-74.3041671,Residential,https://findthemasks.com/api/exec?cmd=bqhv7nFKPgBKc3eVnpcUaNXgOV03nAP2Je9zPJKxhNhpmVTNEF33RYmwwsClsimnme4I1CKiHrltGvHHedCSS4UNBaVPScfPKR72sM2D,https://findthemasks.com/api/exec?cmd=-bg0t0wixqfmwyqWaBgDK0_HOrxfS6HQ-zp_aAZ7st28NCYlak04mhJO23H6XkWwpB5ibI_sd5F6fvwt7ZFjXp3RJuVAMFEZ9N4hScvC,326
327,x,,FM,,,3/23/2020 15:03:28,80,Akron Children’s Hospital,"3451 Saratoga Blvd
Stow, OH 44224","3451 Saratoga Blvd
Stow, OH 44224",Stow,OH,"At doorstep of home, I'm a pediatrician, Dr. Natinder Saini, who will deliver to hospital and make sure it gets there since I work there",,"N95s, Face shields, Gowns, Hand sanitizer",Yes,,Hospital,41.1505682,-81.4074858,Residential,https://findthemasks.com/api/exec?cmd=wBwiec6VFPdYF8CdGeNxvzc-Hiyz1wcUjcMONC4t9UqNMqOUZQWyNL2lmB1ReCPoH7-lRn8iio476eZ7jUKJB0Me4_t9op1c9fV1YNah,https://findthemasks.com/api/exec?cmd=H4Kv9ixbFLGtB4zmuJeSxEXc23a4itFUhtJlFNTaCdL-UYwqwrjbEPaLTvfcTZeiBjiB7deiV5B7ybWNdwkclzUxiEW2roUyt05-9Y9r,327
328,x,,FM,,,3/23/2020 15:04:52,80,Children's Hospital of Philadelphia,"3501 Civic Center Blvd
Philadelphia, PA 19104","3501 Civic Center Blvd
Philadelphia, PA 19104",Philadelphia,PA,"See dropoff or mailing instructions, plus details on homemade masks, at https://www.chop.edu/donate-supplies

OR

Drop off at the Emergency Department with the greeter nurse / security officer at entrance to Emergency Department waiting room",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, Homemade masks",Yes,,Hospital,39.946337,-75.195284,Commercial,https://findthemasks.com/api/exec?cmd=steVXFTIiWjfoZlfOPjQ4FkZmZ1u91yt71OUt71SEDBLNni5LuWRnHo3cW6RwkMITh6dwpxgOynZGX_ooOk3AgJGfpSSU-f-JdwI_e8P,https://findthemasks.com/api/exec?cmd=tmuPLE3WJW0f8dze-dReH_1OPCDAmqDufZQn8G5w0BZR2SmeX-tYzXnaqcPyXWQstjCorqe3Qk93wUDWAAot07a6Um3AP-lWFRhcPddm,328
329,x,,FM,,,3/23/2020 15:06:52,80,VNA Healthcare ,"400 N Highland Ave
Aurora, IL 60506","400 N Highland Ave
Aurora, IL 60506",Aurora,IL,Katie Darger ,,"N95s, Surgical masks, Gowns, Hand sanitizer, Disinfecting wipes",,,,41.7658861,-88.3297764,Commercial,https://findthemasks.com/api/exec?cmd=nARNLTwIiM7jnXTBdg2cE8QwtyVEDC5FRQMN6x27ACJVJic5ThevF9St1iW937mahjVsI4IN9uNNP0NBVOAlYIJoKU2IuJpDCeJkVYqc,https://findthemasks.com/api/exec?cmd=tCYhCGoxAGdWm-i7pRKYFFFZv5_iWqiUBog3CBW1WEqaAFKp1Iw6HQ27njotCOd6ohKxi4UUj_DB6iBgxI91QxaNA2qycelufZkkLECT,329
331,x,,FM,,,3/23/2020 15:13:36,80,Beaumont Hospital,"26901 Beaumont Blvd
Southfield, MI 48033","26901 Beaumont Blvd
Southfield, MI 48033",Southfield,MI,,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes,,Hospital,42.4834786,-83.272495,Commercial,https://findthemasks.com/api/exec?cmd=J4uCZOQOsj2BPaCCJuYSkjJrv8gS226qboK0phzig7isE8e0Lo3kQxhXUe9sNCUdgOXWOrdidgJ3_lJLpBj0UR-IwPikSEh1jfYvLvKl,https://findthemasks.com/api/exec?cmd=_DYbsd4UO63vGkluWpPe4COqws59qSteKNPjWLSzgBg5ZipZBsqUnJSsCKHo7GPK5v79GD7FRnCdUmC4x0YN4jhORKr5sNtGehWlEXB3,331
332,x,,FM,,,3/23/2020 15:14:25,80,Pueblo Community Health Center,"300 Colorado Ave
Pueblo, CO 81001","300 Colorado Ave
Pueblo, CO 81001",Pueblo,CO,"Can bring to 1st floor, ask for Dr. Claire Reed, Julie Martinez or Vanessa Becerril",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes,,,38.2572006,-104.6236682,Commercial,https://findthemasks.com/api/exec?cmd=Ktckp2J1bOhEf-z2TEumf9YPLn522mFj-F2p45KoAFNXoibHsk5LlPNK2ZlWH6Jbfrs-XojiFWUYSMq9IVYtOYBeEv0ffK3WnZDrPeG-,https://findthemasks.com/api/exec?cmd=BNlj8UThgie2bi-CFf81EFplB8-Ybofx4cGmN4P9OthHaaLEJ9--PCItRsW11rrqDuOTu5wIzziNtn7ptfKXsgd1C8L84U_OloJQwsnw,332
334,x,,FM,,,3/23/2020 15:30:35,80,St. Rose Hospital,"27200 Calaroga Ave
Hayward, CA 94545","27200 Calaroga Ave
Hayward, CA 94545",Hayward,CA,"ER door is the only one open. Please make purchasing department aware, manager: Himanshu Handa, 510-264-4122.",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No,,Hospital,37.6334549,-122.0879165,Commercial,https://findthemasks.com/api/exec?cmd=IIo9Suvh-B3N8AcxpWK1T-x-quPaXz6UqoUxpJ-Z3ltYp4GfLtQOYQyPFdOzXuiJCqf20RklTVVl-TrT_WRAN6jBUk7fIFnAtUiODFXD,https://findthemasks.com/api/exec?cmd=-9b_PMSsu41sIb3SP04fb1iuMIuLho87LeqZnC0FbBe6QqH_JtWAb9Px-mw85n6XtRal1i2s-txqaGWfJbt4ghNmdANMxTPpWzhmBsxq,334
